Número de trade;Instrumento;Cuenta;Estrategia;Mercado pos.;Cant.;Precio de entrada;Precio de salida;Tiempo de entrada;Tiempo de salida;Nombre de entrada;Nombre de salida;Ganancias;Con ganancia neto;Comisión;Tarifa de Liquidación;Tarifa de Intercambio;Tarifa de IP;Tarifa de NFA;MAE;MFE;ETD;Barras;
11;ETHBTC;Backtest;CRUCEEMA;Long;1;0,07828;0,07671;17/6/2018 12:00:00 a m;17/6/2018 12:00:00 a m;ENTRADA;Stop loss;-2,01 %;-19,91 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,01 %;0,00 %;2,01 %;1;
12;ETHBTC;Backtest;CRUCEEMA;Long;1;0,07985;0,07825;22/6/2018 12:00:00 a m;23/6/2018 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;-21,51 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;0,10 %;2,10 %;2;
13;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03387;0,03319;9/11/2018 12:00:00 a m;9/11/2018 12:00:00 a m;ENTRADA;Stop loss;-2,01 %;-23,09 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,01 %;0,00 %;2,01 %;1;
14;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03314;0,03298;13/11/2018 12:00:00 a m;14/11/2018 12:00:00 a m;ENTRADA;Cierre por Cruce;-0,48 %;-23,46 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,03 %;0,24 %;0,72 %;2;
15;ETHBTC;Backtest;CRUCEEMA;Long;1;0,02916;0,03284;25/12/2018 12:00:00 a m;16/1/2019 12:00:00 a m;ENTRADA;Cierre por Cruce;12,62 %;-13,80 %;$0,00;$0,00;$0,00;$0,00;$0,00;0,10 %;43,18 %;30,56 %;23;
16;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03501;0,03431;17/1/2019 12:00:00 a m;17/1/2019 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;-15,53 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;0,00 %;2,00 %;1;
17;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03383;0,03315;19/1/2019 12:00:00 a m;19/1/2019 12:00:00 a m;ENTRADA;Stop loss;-2,01 %;-17,22 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,01 %;0,00 %;2,01 %;1;
18;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03258;0,03429;11/2/2019 12:00:00 a m;6/3/2019 12:00:00 a m;ENTRADA;Cierre por Cruce;5,25 %;-12,88 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,72 %;22,31 %;17,07 %;24;
19;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03544;0,03473;8/3/2019 12:00:00 a m;10/3/2019 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;-14,62 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;1,86 %;3,87 %;3;
20;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03480;0,03449;18/3/2019 12:00:00 a m;21/3/2019 12:00:00 a m;ENTRADA;Cierre por Cruce;-0,89 %;-15,38 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,18 %;2,73 %;3,62 %;4;
21;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03452;0,03424;30/3/2019 12:00:00 a m;31/3/2019 12:00:00 a m;ENTRADA;Cierre por Cruce;-0,81 %;-16,07 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,22 %;0,20 %;1,01 %;2;
22;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03489;0,03419;1/4/2019 12:00:00 a m;3/4/2019 12:00:00 a m;ENTRADA;Stop loss;-2,01 %;-17,75 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,01 %;1,49 %;3,50 %;3;
23;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03413;0,03391;11/4/2019 12:00:00 a m;12/4/2019 12:00:00 a m;ENTRADA;Cierre por Cruce;-0,64 %;-18,28 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,20 %;1,00 %;1,64 %;2;
24;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03037;0,03069;18/5/2019 12:00:00 a m;29/5/2019 12:00:00 a m;ENTRADA;Cierre por Cruce;1,05 %;-17,42 %;$0,00;$0,00;$0,00;$0,00;$0,00;0,76 %;14,75 %;13,70 %;12;
25;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03093;0,03031;30/5/2019 12:00:00 a m;1/6/2019 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;-19,08 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;1,94 %;3,94 %;3;
26;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03131;0,03082;3/6/2019 12:00:00 a m;5/6/2019 12:00:00 a m;ENTRADA;Cierre por Cruce;-1,56 %;-20,35 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,98 %;2,65 %;4,22 %;3;
27;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03140;0,03077;7/6/2019 12:00:00 a m;10/6/2019 12:00:00 a m;ENTRADA;Stop loss;-2,01 %;-21,94 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,01 %;2,32 %;4,33 %;4;
28;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03099;0,03037;14/6/2019 12:00:00 a m;16/6/2019 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;-23,51 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;4,19 %;6,20 %;3;
29;ETHBTC;Backtest;CRUCEEMA;Long;1;0,01924;0,01886;19/9/2019 12:00:00 a m;26/9/2019 12:00:00 a m;ENTRADA;Stop loss;-1,98 %;-25,02 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,98 %;15,54 %;17,52 %;8;
30;ETHBTC;Backtest;CRUCEEMA;Long;1;0,02094;0,02052;11/11/2019 12:00:00 a m;24/11/2019 12:00:00 a m;ENTRADA;Stop loss;-2,01 %;-26,52 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,01 %;4,20 %;6,21 %;14;
31;ETHBTC;Backtest;CRUCEEMA;Long;1;0,01880;0,01842;17/1/2020 12:00:00 a m;17/1/2020 12:00:00 a m;ENTRADA;Stop loss;-2,02 %;-28,01 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,02 %;0,00 %;2,02 %;1;
32;ETHBTC;Backtest;CRUCEEMA;Long;1;0,01941;0,01902;2/2/2020 12:00:00 a m;2/2/2020 12:00:00 a m;ENTRADA;Stop loss;-2,01 %;-29,45 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,01 %;0,00 %;2,01 %;1;
33;ETHBTC;Backtest;CRUCEEMA;Long;1;0,02338;0,02291;9/4/2020 12:00:00 a m;9/4/2020 12:00:00 a m;ENTRADA;Stop loss;-2,01 %;-30,87 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,01 %;0,00 %;2,01 %;1;
34;ETHBTC;Backtest;CRUCEEMA;Long;1;0,02261;0,02250;25/5/2020 12:00:00 a m;26/5/2020 12:00:00 a m;ENTRADA;Cierre por Cruce;-0,49 %;-31,21 %;$0,00;$0,00;$0,00;$0,00;$0,00;0,71 %;0,80 %;1,28 %;2;
35;ETHBTC;Backtest;CRUCEEMA;Long;1;0,02292;0,02246;27/5/2020 12:00:00 a m;29/5/2020 12:00:00 a m;ENTRADA;Stop loss;-2,01 %;-32,59 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,01 %;1,40 %;3,40 %;3;
36;ETHBTC;Backtest;CRUCEEMA;Long;1;0,02300;0,03296;31/5/2020 12:00:00 a m;8/9/2020 12:00:00 a m;ENTRADA;Cierre por Cruce;43,30 %;-3,39 %;$0,00;$0,00;$0,00;$0,00;$0,00;0,00 %;76,39 %;33,09 %;101;
37;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03440;0,03371;9/9/2020 12:00:00 a m;9/9/2020 12:00:00 a m;ENTRADA;Stop loss;-2,01 %;-5,33 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,01 %;0,00 %;2,01 %;1;
38;ETHBTC;Backtest;CRUCEEMA;Long;1;0,03433;0,03364;12/9/2020 12:00:00 a m;17/9/2020 12:00:00 a m;ENTRADA;Stop loss;-2,01 %;-7,23 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,01 %;8,27 %;10,28 %;6;
